state,county,city,zip_code,total_population,total_population_2024,median_age,housing_units,median_gross_rent,median_home_value,median_household_income,white_population,black_population,american_indian_alaska_native_population,asian_population,hispanic_latino_population,foreign_born_population,total_moved_last_year,moved_from_different_state,moved_from_abroad,average_price,average_beds,average_baths,average_sqft,num_listings
CO,Douglas County,Parker,80134,73165,75383,36.9,26786,1786,508500,124825,60219,1784,247,5072,7656,3068,72525,60287,4748,734213.7804878049,3.609756097560976,3.414634146341464,3003.292682926829,41
CO,Arapahoe County,Aurora,80013,75525,73870,35.9,26595,1745,355500,86266,47640,10225,374,5082,18035,5056,74601,64459,5724,450697.56097560975,3.1219512195121952,2.365853658536585,1782.1707317073171,41
CO,Arapahoe County,Aurora,80015,71786,72841,38.2,24706,1865,430100,108577,50292,6280,593,5557,10499,3398,70805,62147,4167,579343.9024390244,3.7560975609756095,2.975609756097561,2576.3414634146343,41
CO,Arapahoe County,Aurora,80016,63013,64842,39.2,22657,1810,593200,131250,45592,4124,68,6536,6311,2478,62445,53397,4826,878502.1951219512,3.7,3.7804878048780486,3899.0731707317073,41
CO,Denver County,Denver,80219,67393,64696,33.1,22955,1273,335000,56441,44053,1105,1009,1371,47267,10822,66542,61580,2529,501832.9024390244,3.657894736842105,1.8205128205128205,1479.871794871795,41
CO,Weld County,Greeley,80634,60350,62001,38.3,24045,1351,327200,79190,49569,654,704,792,17208,2347,59660,50514,5208,451588.7073170732,3.575,2.675,2406.65,41
CO,Weld County,Longmont,80504,58675,60527,39.6,21699,1690,429300,100223,49112,419,363,1689,12535,2317,58055,49512,3371,697083.9024390244,3.725,3.075,2728.375,41
CO,Adams County,Commerce City,80022,57154,58681,32.4,18186,1403,356400,81746,39898,2907,593,1023,31323,5774,56351,47820,3976,502169.756097561,3.268292682926829,2.731707317073171,2143.0731707317077,41
CO,Adams County,Denver,80229,56484,55929,32.0,19967,1473,294300,67268,36645,645,1086,2128,31633,7816,55733,45455,6315,385181.512195122,2.75,2.1707317073170733,1489.2682926829268,41
CO,Larimer County,Fort Collins,80525,54980,55315,36.4,23765,1525,443400,81531,47220,772,437,1367,5802,1871,54480,42072,6873,578763.3902439025,3.268292682926829,2.731707317073171,2191.560975609756,41
